h3_index,geometry
88283082adfffff,"POLYGON ((-122.38563455403627 37.776004200673846, -122.38115870279778 37.77954671394284, -122.38260537578675 37.78423925667993, -122.38852823904973 37.78538910040422, -122.3930038777072 37.78184647001161, -122.39155686573118 37.7771541130283, -122.38563455403627 37.776004200673846))"
88283082c3fffff,"POLYGON ((-122.4228733961672 37.75235092075327, -122.41840090930853 37.755894727432555, -122.41984858577301 37.760587227094085, -122.42576908738397 37.76173573392154, -122.43024136094475 37.758191810197026, -122.42879334624087 37.75349949670023, -122.4228733961672 37.75235092075327))"
8828308293fffff,"POLYGON ((-122.4493255342041 37.783943456932086, -122.44485335649753 37.7874875433937, -122.4463024190072 37.79217801171267, -122.45222399729478 37.79332420735765, -122.45669596099604 37.78978000407825, -122.45524656046348 37.785089721981564, -122.4493255342041 37.783943456932086))"
8828309501fffff,"POLYGON ((-122.43798937456032 37.711162724596356, -122.43351961132745 37.71470746819596, -122.4349672549359 37.71940125117305, -122.44088499955626 37.72055010407614, -122.4453545493304 37.717005243350734, -122.44390656799126 37.71231164685789, -122.43798937456032 37.711162724596356))"
8828309527fffff,"POLYGON ((-122.41116428329157 37.73242872932619, -122.40669191524859 37.73597248953065, -122.40813889567377 37.74066613210137, -122.41405858248666 37.741815828309846, -122.41853073756909 37.73827195093835, -122.41708341884751 37.73357849453532, -122.41116428329157 37.73242872932619))"
882830876dfffff,"POLYGON ((-122.435907696754 37.79457522286775, -122.43143421469924 37.798118815695084, -122.43288294565184 37.802809212365645, -122.43880549701393 37.80395583015459, -122.44327876531263 37.80041212048837, -122.44182969605376 37.79572190988203, -122.435907696754 37.79457522286775))"
8828308285fffff,"POLYGON ((-122.40642818680486 37.771217589546495, -122.4019538515761 37.7747607144902, -122.40340120235787 37.77945288562526, -122.40932322704121 37.78060174588399, -122.41379734925398 37.77705850389022, -122.41234965984782 37.77236651869775, -122.40642818680486 37.771217589546495))"
8828308747fffff,"POLYGON ((-122.46406686326598 37.795615546687294, -122.45959511375494 37.799159866731564, -122.46104486600606 37.803849447179225, -122.46696670568012 37.80499452130982, -122.47143824081596 37.80145008455361, -122.4699881507014 37.796760690388666, -122.46406686326598 37.795615546687294))"
88283095a3fffff,"POLYGON ((-122.473129625824 37.77091117154125, -122.46865951165546 37.77445605529221, -122.47010924304796 37.77914640849451, -122.47602942621562 37.78029169148142, -122.4804993259132 37.77674669097086, -122.47904925696255 37.77205652424289, -122.473129625824 37.77091117154125))"
8828309503fffff,"POLYGON ((-122.4453545493304 37.717005243350734, -122.44088499955626 37.72055010407614, -122.44233298762562 37.72524344429653, -122.44825086316872 37.72639173728677, -122.45272019929955 37.72284675948857, -122.45127187357896 37.718153605782796, -122.4453545493304 37.717005243350734))"
88283082b7fffff,"POLYGON ((-122.41511471338828 37.79936725426075, -122.41063971358435 37.802910235708076, -122.41208776737979 37.80760100422448, -122.41801115969699 37.8087486054277, -122.42248594617955 37.80520550706759, -122.42103755371477 37.80051492442699, -122.41511471338828 37.79936725426075))"
88283095a9fffff,"POLYGON ((-122.46878080424135 37.75683863944775, -122.4643110206721 37.76038359385052, -122.4657604004799 37.76507464791568, -122.4716799014415 37.766220561080004, -122.47614947069269 37.762675489848675, -122.47469975334872 37.75798462229148, -122.46878080424135 37.75683863944775))"
88283095bbfffff,"POLYGON ((-122.5012759461211 37.77194487116442, -122.49680756584708 37.77549047988053, -122.49825831665608 37.780180016147504, -122.5041777849028 37.7813237570158, -122.50864595008797 37.77777803166741, -122.50719486216373 37.773088682092855, -122.5012759461211 37.77194487116442))"
88283082d1fffff,"POLYGON ((-122.44063295745423 37.75579559734247, -122.4361614423621 37.7593398258978, -122.43760980181288 37.764031696110386, -122.4435300143827 37.76517915148818, -122.44800131577514 37.76163480597738, -122.44655261834583 37.75694312205417, -122.44063295745423 37.75579559734247))"
88283082a7fffff,"POLYGON ((-122.38997525724962 37.790081199780595, -122.38549907314595 37.793623641132584, -122.38694609754087 37.79831548273905, -122.39286964509765 37.79946469728295, -122.39734561646776 37.79592213887592, -122.39589825306311 37.79123048298997, -122.38997525724962 37.790081199780595))"
8828308745fffff,"POLYGON ((-122.45669596099604 37.78978000407825, -122.45222399729478 37.79332420735765, -122.4536734046784 37.7980142318056, -122.45959511375494 37.799159866731564, -122.46406686326598 37.795615546687294, -122.46261711793915 37.79092570849186, -122.45669596099604 37.78978000407825))"
88283082ddfffff,"POLYGON ((-122.4332650748479 37.749955385153285, -122.42879334624087 37.75349949670023, -122.43024136094475 37.758191810197026, -122.4361614423621 37.7593398258978, -122.44063295745423 37.75579559734247, -122.43918460469227 37.751103470104695, -122.4332650748479 37.749955385153285))"
882830823bfffff,"POLYGON ((-122.3769563091957 37.747843897592965, -122.37248112375252 37.751386553808985, -122.37392709426375 37.75608049733327, -122.37984858920824 37.757231598831176, -122.38432356237524 37.753688825354175, -122.38287725292231 37.74899506765022, -122.3769563091957 37.747843897592965))"
88283095adfffff,"POLYGON ((-122.45839165007875 37.759237120299936, -122.4539211075227 37.76278177037268, -122.45537014961292 37.76747301085173, -122.4612900720252 37.76861941485404, -122.4657604004799 37.76507464791568, -122.4643110206721 37.76038359385052, -122.45839165007875 37.759237120299936))"
88283095bdfffff,"POLYGON ((-122.48351861171089 37.768511336236, -122.47904925696255 37.77205652424289, -122.4804993259132 37.77674669097086, -122.4864190870373 37.777891483133494, -122.49088822709805 37.7743461784041, -122.48943782077076 37.76965619824446, -122.48351861171089 37.768511336236))"
8828309563fffff,"POLYGON ((-122.42023721647774 37.70771385735556, -122.41576648241679 37.7112581796154, -122.41721344356674 37.71595259157857, -122.42313147681722 37.71710249493237, -122.42760199782084 37.713558055457014, -122.4261546986797 37.70886382985328, -122.42023721647774 37.70771385735556))"
